,reviewer_review,reviewer_avg,reviewer_review_cnt,reviewer_review_score,reviewer_review_date,reviewer_id,diner_idx
1,맛있어요.,5.0,6,5.0,2022.02.12.,"이춘*
브론즈 배지
레벨
5",5851607
2,가성비대비 쵝오입니다 음식도 맛있고요.5500원,4.2,5,5.0,2021.10.25.,"재
브론즈 배지
레벨
3",5851607
3,메뉴도 많고 가성비가 좋아요,4.0,23,5.0,2021.06.22.,"moo
실버 배지
레벨
13",5851607
0,"1층의 주차공간은 비교적 여유있는 편이고 식사는 2층에서 진행하는데 생각보다 넓지는 않다.
상육하골의 좋은재료를 사용한다는 자부심이 곳곳에 눈에 띄고 반쯤 익은 김치와 깍두기는 먹기 좋게 맛이 들었다.
살고기와 함께 대파와 노른자 지단이 올려진 맑고 깔끔한 육수는 은은한 육향의 감칠맛나는 단맛으로 전형적인 나주식 곰탕이다. 취향에 따라서는 좀 더 진한 깊은맛이 아쉬울 수도 있겠고 살고기와 국물의 양이 다소 부족하다는 느낌도 없지않다.
더보기",3.5,739,4.0,2024.01.15.,"금나비
블루 배지
레벨
71",25414616
1,"포장. 오늘은 밥을 안주시네. 
정가 다 받으시면서 뭐지???
김치도 예전하고 다른 작은 케이스네……
흠~~~~
더보기",2.4,120,3.0,2023.12.03.,"레서판다
실버 배지
레벨
28",25414616
2,배달 주문으로 편하게 깔끔한 곰탕과 고소하고 부드러운 육전을.,4.9,24,5.0,2023.10.21.,"강현애
실버 배지
레벨
15",25414616
0,10분넘게 기다렸는데 주문도 안받고 최악,1.0,2,1.0,2022.09.21.,"김도윤
브론즈 배지
레벨
2",26987691
1,"아니 사진이 너무 다르잖아요
양도 너무 적고 가격에 비해 양이 말이 안됨
그나마 김치가 맛잇어서 2점 드림...
양이 진짜 이럴수 있나 싶을 정도로 작다
더보기",3.0,2,2.0,2021.05.29.,"뚜리
브론즈 배지
레벨
4",26987691
2,"맛있고 빨리 나오고 친절하고 깔끔 그자체!
또 오고 싶어요.",5.0,5,5.0,2019.01.18.,"현수정사( 최병호 )
브론즈 배지
레벨
4",26987691
0,"양심불량

돈 낸 것도 안 줌",2.3,4,1.0,2023.09.27.,"morningreader
브론즈 배지
레벨
3",1715438824
